region,ppt_mean,ppt_std,ppt_min,ppt_max,tmax_mean,tmax_std,tmax_min,tmax_max,population_mean,population_std,population_min,population_max,pct_developed_mean,pct_developed_std,pct_developed_min,pct_developed_max,pct_agriculture_mean,pct_agriculture_std,pct_agriculture_min,pct_agriculture_max,pct_forest_mean,pct_forest_std,pct_forest_min,pct_forest_max,pct_shrub_grass_mean,pct_shrub_grass_std,pct_shrub_grass_min,pct_shrub_grass_max,water_use_mean,water_use_std,water_use_min,water_use_max
Central Coast,41.508677758879976,68.21902104846235,0.000270833328319,324.9330845923648,22.837920318319213,5.873431003170763,11.925543446342155,32.067929158891964,1248300.3055555555,39729.05058260869,1063274,1296843,0.05310028437889435,0.0008809989831432221,0.0516897823098515,0.0547717142588548,0.07025365425286506,0.0009429440065932964,0.0680832042568417,0.0714371012348522,0.14149847148286815,0.008308308450627105,0.129200738430735,0.1531996450334959,0.7166935250176883,0.008154196741945586,0.7068176996969594,0.7295317168871427,4066102788.7778893,908417915.5997076,2514071928.41,5939228057.23
Colorado River,9.987852142274619,13.240520697776226,0.0,60.685918398178174,28.348566588702315,8.226360605452713,14.714819151436188,41.12664042244101,769903.4814814815,38057.11202166517,581265,831626,0.022400272069391006,0.0004803850075546165,0.0216359130616419,0.0234840494161144,0.051679996336296684,0.00028275093805411715,0.0511764043202297,0.0521631687820196,0.005673591260357491,0.0005406053743717367,0.0048265554132892,0.0066247586866633,0.7255379701596271,0.0015187971870990829,0.7234831763745074,0.7278527758620337,5499113795.105447,1320121700.1690953,3081029296.528,8176263112.443001
North Coast,105.78479235645825,121.41038442612015,0.063633743558731,460.2311623047048,18.35885056259255,7.682790491775633,5.864304085587967,31.15347115301716,401587.7037037037,15271.22230953619,339124,420218,0.03388976085571425,0.0002143788886839245,0.033730227338729,0.034529022562534,0.027645332744444688,0.0003859874156220402,0.0269974379402677,0.0280322262228102,0.54822851436708,0.03133202492114302,0.4905324091683607,0.5840024762294536,0.36375961135428164,0.03191574947268692,0.3281137694551536,0.4219703318876212,1202386257.9195807,278770328.8996675,818037747.5929999,1897150138.96
North Lahontan,49.402814920648886,57.54971040014726,0.419869534766583,286.2277882501423,15.360473294673863,8.85118985803548,1.225438269031513,30.50378069269313,90077.61111111111,6504.652145164648,49696,104741,0.02270336817527576,0.00022575298581157272,0.0224194276006305,0.0232232298041999,0.02695261867081879,0.0002259397454257421,0.0263829139288963,0.0274249953984907,0.25469882784701414,0.01165242348385091,0.2317911095320449,0.2625796066785414,0.5807730707829273,0.013459974274997092,0.5677358064870324,0.6053897782112261,382555674.3425926,162949627.17070234,156074275.0,756388237.0
Sacramento River,73.97045596817877,94.77987304118341,0.023359700416153,387.81465618063,20.095650907701835,8.32780673892641,6.551762928023457,33.85801540457783,2719087.111111111,174991.76528755506,1987045,3811427,0.060634424345106956,0.0008184632950335328,0.059658534636669,0.0626464823620408,0.1320784439138024,0.0004150265860400867,0.1311499093066679,0.132565442517408,0.3545229238735086,0.03049977229861081,0.2970865364117624,0.3823128028272759,0.41060141214212853,0.03034538583539516,0.3852274183768951,0.4666677292297149,14495951995.152573,5670765003.8435955,6600149879.6970005,25158576252.21
San Francisco Bay,53.426270163001355,82.63814391023442,0.000377713465408,340.7665498460255,21.01441457089858,5.245416289681717,11.790147586772822,29.21717655330937,6529824.240740741,221867.66665495295,4681886,6824746,0.25785746789527497,0.0012545502724412953,0.2558516293653886,0.2601297094034098,0.02817701837073429,0.0007879213852738108,0.0268019177637224,0.0294759768347995,0.17253900347123682,0.009087890115346407,0.1583430735123315,0.1812886786422513,0.3729627396350401,0.008902204518271586,0.3646084417340803,0.3879272285053669,20396294962.927395,4431184519.101297,13499475014.0174,28343285077.63712
San Joaquin River,57.68862095608639,83.29513402537914,0.005412473121548,398.73178628244654,21.071369632781856,7.650597323644856,8.94358795904013,33.17146797918512,1548768.8148148148,125897.48075334993,1306488,1723261,0.06292485632339766,0.0016054384124781819,0.060720146725727,0.0664723144069465,0.23401715546596744,0.0006131693590855793,0.2322629070074446,0.2345981119189421,0.23074344803362173,0.014647865002190416,0.2058494574673718,0.2494411690595294,0.4213609889316493,0.012847656860382941,0.4081328578408691,0.4445193060555958,7585460785.2493,2518593472.0989723,3790755837.4081,12792597509.804
South Coast,34.24892515686377,55.678079770051745,0.001448505589225,271.8950662244748,23.15076791630335,5.573178823262583,12.36620424829822,32.37476531417104,19942542.23148148,487209.24998833745,17400997,20808417,0.32463609520865194,0.0028329517506000077,0.3199714209732326,0.3297611028004963,0.02064020321821744,0.0010823528546344118,0.0186444669993136,0.0223367639906036,0.07291824348622801,0.006887434762499887,0.0636336287103354,0.0815385657223226,0.5584993382220423,0.005214486812770645,0.5517655787496812,0.5661325989810273,78490473502.83426,16179390221.87642,45976942684.55,115067194422.253
South Lahontan,14.798681131760382,20.009204092791528,0.0,116.2535060395738,23.567661370674855,8.724448706190596,9.329181217404892,37.087791605617376,833813.1296296297,55529.22942054134,429614,981148,0.019465950920120333,0.0005409192623359869,0.0185391269491457,0.0205534219162798,0.003938485659004906,0.0003489867523304844,0.0036930911565754,0.0054487621726886,0.03523002714590914,0.0003042765188065738,0.0347074019466664,0.0354818933606938,0.824900379220639,0.0008679758442731459,0.8231653818707854,0.8264213296584135,3798038718.8722405,1233800294.7268264,1931211054.61856,6380803504.19176
Tulare Lake,32.34730034747221,49.54180540343591,0.0,258.0807676391121,22.238186902422463,7.814792567533973,9.99187585370118,34.72564973285354,1884398.3425925926,80997.97482701538,1425208,2018096,0.06331925554010483,0.0019527390311134415,0.060388576917753,0.0670905797391537,0.3291361631993113,0.004853204413128761,0.3181553526837519,0.3366892321493085,0.1373626033255833,0.010297734180927623,0.1179750057345039,0.1529822845718774,0.4380462668484307,0.011869270077446814,0.4183007767312279,0.4582432781668142,11268358296.709923,3792435533.616026,5578556398.7890005,18710317673.41
